"species","n","q95","q99","median_lat","mean_lat","warm_flag","kingdom","phylum","class","order","genus","family","species_selection","speciesKey"
"Nomeus gronovii",256,32.725025,40.117565,25.73194,-80.6587665,"tropical","Animalia","Chordata","","Perciformes","Nomeus","Nomeidae","rare",2381886
"Notacanthus chemnitzii",1536,67.092705,71.79858355,48.7,-53.375,"northern_species","Animalia","Chordata","","Notacanthiformes","Notacanthus","Notacanthidae","rare",2405532
"Notoscopelus elongatus",258,50.120215,62.1136681,48.5006,-61.5149,"northern_species","Animalia","Chordata","","Myctophiformes","Notoscopelus","Myctophidae","rare",2406096
"Notoscopelus kroyeri",530,67.133333,68.288142,47.99875,-59.42525,"northern_species","Animalia","Chordata","","Myctophiformes","Notoscopelus","Myctophidae","rare",2406108
"Notoscopelus resplendens",874,43,43.71081,38.52,-64.77,"possible_warm_water","Animalia","Chordata","","Myctophiformes","Notoscopelus","Myctophidae","rare",2406106
"Oikopleura dioica",264,45.0853,45.08597079,45.032705,-66.96618,"northern_species","Animalia","Chordata","","Copelata","Oikopleura","Oikopleuridae","medium",2332555
"Oncorhynchus clarkii",291,63.7145,63.7261,44.942933,-67.096017,"northern_species","Animalia","Chordata","","Salmoniformes","Oncorhynchus","Salmonidae","medium",5711980
"Oncorhynchus kisutch",2126,46.84,48.6375,44.10787,-87.6646545,"northern_species","Animalia","Chordata","","Salmoniformes","Oncorhynchus","Salmonidae","rare",5204034
"Oncorhynchus mykiss",43560,47.16,47.96447,43.45702,-87.180875,"northern_species","Animalia","Chordata","","Salmoniformes","Oncorhynchus","Salmonidae","medium",5204019
"Oncorhynchus nerka",289,57.55048,57.55048,44.939333,-73.38343,"northern_species","Animalia","Chordata","","Salmoniformes","Oncorhynchus","Salmonidae","medium",5204039
"Oncorhynchus tshawytscha",4126,46.84412,47.9337325,43.908225,-82.36521,"northern_species","Animalia","Chordata","","Salmoniformes","Oncorhynchus","Salmonidae","medium",5204024
"Ophichthus gomesii",1124,43.416668,43.94859777,30.2583,-87.7945185,"northern_species","Animalia","Chordata","","Anguilliformes","Ophichthus","Ophichthidae","rare",5213186
"Opisthonema libertate",438,45.086517,63.7225,44.942933,-67.096017,"northern_species","Animalia","Chordata","","Clupeiformes","Opisthonema","Clupeidae","medium",5214557
"Osmerus eperlanus",7,47.106667,47.634667,45.066667,-69.93,"northern_species","Animalia","Chordata","","Osmeriformes","Osmerus","Osmeridae","rare",2410854
"Osmerus mordax",57482,47.6958,48.826819,44.592239,-82.8,"northern_species","Animalia","Chordata","","Osmeriformes","Osmerus","Osmeridae","medium",4283983
"Paralepis coregonoides",331,62.9749985,66.1175,41.733334,-65.6667,"northern_species","Animalia","Chordata","","Aulopiformes","Paralepis","Paralepididae","rare",5212745
"Paralichthys dentatus",15126,41.26862175,41.8921925,38.7667515,-74.4554515,"possible_warm_water","Animalia","Chordata","","Pleuronectiformes","Paralichthys","Paralichthyidae","rare",2408866
"Paralichthys olivaceus",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Pleuronectiformes","Paralichthys","Paralichthyidae","medium",2408877
"Paraliparis calidus",197,49.3311002,49.93600064,48.096667,-61.097667,"northern_species","Animalia","Chordata","","Scorpaeniformes","Paraliparis","Liparidae","rare",2336371
"Parophrys vetulus",340,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Pleuronectiformes","Parophrys","Pleuronectidae","medium",2409370
"Peprilus triacanthus",28916,44.5,45.182148,40.38333,-71.07,"northern_species","Animalia","Chordata","","Perciformes","Peprilus","Stromateidae","rare",2397711
