"species","n","q95","q99","median_lat","mean_lat","warm_flag","kingdom","phylum","class","order","genus","family","species_selection","speciesKey"
"Trachinotus falcatus",24030,27.47467025,34.70210143,24.664375,-80.7515485,"tropical","Animalia","Chordata","","Perciformes","Trachinotus","Carangidae","rare",9819074
"Trachurus lathami",3579,40.954617,42.90768374,27.396859,-80.10063,"southern_range_edge","Animalia","Chordata","","Perciformes","Trachurus","Carangidae","rare",5210468
"Trachyrincus murrayi",952,63.34712885,64.16629388,48.63,-59.9835835,"northern_species","Animalia","Chordata","","Gadiformes","Trachyrincus","Macrouridae","rare",2415968
"Triglops murrayi",54456,48.62,61.38075015,44.73957,-62.48502,"northern_species","Animalia","Chordata","","Scorpaeniformes","Triglops","Cottidae","medium",2334048
"Triglops nybelini",2305,73.25,77.283333,63.521,-65.635,"northern_species","Animalia","Chordata","","Scorpaeniformes","Triglops","Cottidae","rare",2334027
"Triglops pingelii",17263,61.429,71.1026,44.73957,-62.597518,"northern_species","Animalia","Chordata","","Scorpaeniformes","Triglops","Cottidae","medium",2334033
"Typhlonarke aysoni",903,46.7685,63.7182,45.062083,-63.825889,"northern_species","Animalia","Chordata","Elasmobranchii","Torpediniformes","Typhlonarke","Narkidae","medium",2419771
"Ulvaria subbifurcata",17419,45.094,48.2164,44.722323,-62.597518,"northern_species","Animalia","Chordata","","Perciformes","Ulvaria","Stichaeidae","medium",5211302
"Upeneus parvus",2118,36.253087,40.38862,24.639845,-80.398595,"tropical","Animalia","Chordata","","Perciformes","Upeneus","Mullidae","rare",2396783
"Urophycis regia",13115,40.9161499,43.07153954,38.420667,-74.388847,"southern_range_edge","Animalia","Chordata","","Gadiformes","Urophycis","Phycidae","rare",2415740
"Vinciguerria nimbaria",902,42.816666,43.5,31.925,-74.15,"possible_warm_water","Animalia","Chordata","","Stomiiformes","Vinciguerria","Phosichthyidae","rare",2346841
"Xenolepidichthys dalgleishi",301,43.032225,43.925278,28.47972,-81.92,"possible_warm_water","Animalia","Chordata","","Zeiformes","Xenolepidichthys","Grammicolepididae","rare",2415264
"Xiphias gladius",143426,43.26,46.71,27.9,-79.01,"northern_species","Animalia","Chordata","","Perciformes","Xiphias","Xiphiidae","rare",2397850
"Zenopsis conchifer",1442,43.2835,44.0328556,39.398815,-72.4583,"northern_species","Animalia","Chordata","","Zeiformes","Zenopsis","Zeidae","rare",2415247
"Zoarces andriashevi",133,63.7225,63.7261,45.078967,-67.096017,"northern_species","Animalia","Chordata","","Perciformes","Zoarces","Zoarcidae","medium",2381008
