"speciesKey","kingdom","phylum","class","order","family","genus","species"
5209332,"Animalia","Chordata","","Perciformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
5210410,"Animalia","Chordata","","Perciformes","Pholidae","Pholis","Pholis ornata"
5210553,"Animalia","Chordata","","Perciformes","Carangidae","Carangoides","Carangoides bartholomaei"
5210675,"Animalia","Chordata","","Perciformes","Carangidae","Trachinotus","Trachinotus blochii"
5212349,"Animalia","Chordata","","Perciformes","Sciaenidae","Pogonias","Pogonias cromis"
5213186,"Animalia","Chordata","","Anguilliformes","Ophichthidae","Ophichthus","Ophichthus gomesii"
5213361,"Animalia","Chordata","","Tetraodontiformes","Diodontidae","Diodon","Diodon holocanthus"
5213939,"Animalia","Chordata","","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata"
5214449,"Animalia","Chordata","","Osmeriformes","Argentinidae","Argentina","Argentina striata"
5214451,"Animalia","Chordata","","Osmeriformes","Argentinidae","Argentina","Argentina sialis"
5215150,"Animalia","Chordata","","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides rupestris"
5216061,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja eglanteria"
7791680,"Animalia","Chordata","","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus alatus"
9819074,"Animalia","Chordata","","Perciformes","Carangidae","Trachinotus","Trachinotus falcatus"
