"species","weighted_lat","q95_lat","coastal_overlap","n_cells","matched_name","warm_flag_am"
"Nomeus gronovii",22.0154670455427,32.5,0,861,NA,"tropical"
"Pogonias cromis",29.1828506569839,40.5,0,846,NA,"southern_range_edge"
"Priacanthus arenatus",23.6703717518133,35,0,994,NA,"tropical"
"Pristipomoides aquilonaris",22.3819685161673,31.5,0,886,NA,"tropical"
"Pseudupeneus maculatus",22.5947952046357,32,0,819,NA,"tropical"
"Remora remora",24.2376078488213,39.5,0,1516,NA,"southern_range_edge"
"Rhizoprionodon terraenovae",23.3643953175095,33,0,922,NA,"tropical"
"Selene setapinnis",24.5999671776314,38.5,0,916,NA,"southern_range_edge"
"Selene vomer",24.0031630721224,36,0,829,NA,"tropical"
"Seriola dumerili",23.4466238132511,35.5,0,1083,NA,"tropical"
"Sphoeroides spengleri",22.7782664821348,32.5,0,819,NA,"tropical"
"Stegastes partitus",20.752101685069,27,0,707,NA,"tropical"
"Stephanolepis hispidus",24.9156699099282,40,0,1148,NA,"southern_range_edge"
"Trachinotus falcatus",22.9215594695855,33,0,780,NA,"tropical"
"Upeneus parvus",22.5122946810661,32,0,746,NA,"tropical"
"Seriola zonata",25.0849097865622,40.5,0,1137,NA,"southern_range_edge"
"Peprilus triacanthus",NA,NA,NA,0,NA,NA
"Pristigenys alta",24.3495925961312,39,0,1005,NA,"southern_range_edge"
"Sphyraena borealis",29.0468439800787,40.5,0,633,NA,"southern_range_edge"
"Scophthalmus aquosus",43.9469708168913,49,0.0351680828919624,361,NA,"northern_species"
"Mallotus villosus",55.3774128901273,70,0.0042710019967524,5025,NA,"northern_species"
"Lumpenus lampretaeformis",53.4289667622147,70,0.0118679340867353,1513,NA,"northern_species"
"Tautogolabrus adspersus",44.9864999988383,49.5,0.0306842104336644,547,NA,"northern_species"
"Reinhardtius hippoglossoides",61.279565039999,75.5,0,3127,NA,"northern_species"
"Alosa sapidissima",44.3774093476229,50,0.0287487748560426,689,NA,"northern_species"
"Anarhichas lupus",51.1076929536252,67.5,0.0141001589326546,1755,NA,"northern_species"
"Triglops murrayi",51.9791070842505,68.5,0.0113351460135019,1556,NA,"northern_species"
"Osmerus mordax",51.9829595264983,64,0.00862325533145395,3450,NA,"northern_species"
"Leptoclinus maculatus",57.3909602474105,74.5,0.00808031739810477,2860,NA,"northern_species"
"Myoxocephalus aenaeus",44.6625721185001,49.5,0.0449469570634686,318,NA,"northern_species"
"Ulvaria subbifurcata",46.2176177680021,50,0.0517529916162077,361,NA,"northern_species"
"Pholis gunnellus",46.6820386667159,50.5,0.0429546366447831,972,NA,"northern_species"
"Alosa aestivalis",39.4707050933887,45,0.0540103713816056,252,NA,"northern_species"
"Lophius americanus",45.5127292778445,50.5,0.0145580965193364,938,NA,"northern_species"
"Cyclopterus lumpus",48.1937012101318,62.5,0.0147011653977748,2604,NA,"northern_species"
"Lycodes vahlii",67.0024864688106,72.5,0,578,NA,"northern_species"
"Gasterosteus aculeatus",45.2933037658849,50.5,0.0281263522219437,1773,NA,"northern_species"
"Fundulus heteroclitus",41.784838489294,47.5,0.074687247006255,233,NA,"northern_species"
"Cryptacanthodes maculatus",45.6354026000529,50,0.0346500535651746,521,NA,"northern_species"
"Ammodytes hexapterus",46.1609042039991,51,0.0229361480187277,1195,NA,"northern_species"
"Menidia menidia",42.8152729021834,49,0.0598898345767522,357,NA,"northern_species"
"Apeltes quadracus",45.9755928053097,50,0.0537899502218765,275,NA,"northern_species"
"Typhlonarke aysoni",NA,NA,NA,0,NA,NA
"Lamna nasus",41.5132343790926,56,0.00469772247863366,5454,NA,"northern_species"
"Artediellus uncinatus",56.0461023999499,72,0.0108038650711846,3449,NA,"northern_species"
"Liparis inquilinus",44.1395549448035,49,0.0399171987204455,454,NA,"northern_species"
"Cetorhinus maximus",41.4425383189261,57,0.00424183182610058,6994,NA,"northern_species"
"Liparis atlanticus",45.3762515197142,49.5,0.0320084951941877,661,NA,"northern_species"
"Acipenser oxyrinchus",40.0543522519033,49,0.0374799886718208,692,NA,"northern_species"
"Carcharodon carcharias",30.9289932857855,45,0.000154467749586612,6972,NA,"northern_species"
"Pungitius pungitius",53.5642337909024,70,0.0113743349894269,2454,NA,"northern_species"
"Brevoortia tyrannus",38.0861455705236,44,0.0218617157980431,195,NA,"northern_species"
"Oncorhynchus mykiss",NA,NA,NA,0,NA,NA
"Oncorhynchus tshawytscha",NA,NA,NA,0,NA,NA
"Brosme brosme",46.5744666511593,52.5,0.0148359438501414,1612,NA,"northern_species"
"Thunnus thynnus",28.6430718845342,44,0.00067400543154359,6943,NA,"northern_species"
"Morone americana",42.114237769505,46,0.093357271425931,205,NA,"northern_species"
"Gadus macrocephalus",NA,NA,NA,0,NA,NA
"Leptagonus decagonus",60.0550312847077,75.5,0.00520826753501965,3714,NA,"northern_species"
"Parophrys vetulus",NA,NA,NA,0,NA,NA
"Opisthonema libertate",15.1732644028126,16.5,0,38,NA,"tropical"
"Alopias vulpinus",32.2811938535843,44.5,0.000192107034007854,6902,NA,"northern_species"
"Boreogadus saida",66.1361785932575,76.5,0,3122,NA,"northern_species"
"Icelus spatula",62.7809809836872,76,0.00122546217748869,3448,NA,"northern_species"
"Artediellus atlanticus",57.6627907990162,75,0.00408707912552431,1635,NA,"northern_species"
"Lycenchelys verrillii",45.9011554118446,50.5,0.00660860427758322,733,NA,"northern_species"
"Nezumia bairdii",46.1364585106888,52,0.0123378531178178,984,NA,"northern_species"
"Gymnocanthus tricuspis",60.7961185771359,76,0.00505994726301469,3648,NA,"northern_species"
"Syngnathus fuscus",39.7640962732002,46,0.0333137907578841,581,NA,"northern_species"
"Dicentrarchus labrax",NA,NA,NA,0,NA,NA
"Oikopleura dioica",32.9524582880845,47.5,0.0108581328707955,2182,NA,"northern_species"
"Merluccius merluccius",15.2861339626451,16.5,0,29,NA,"tropical"
"Phycis chesteri",44.9655711227608,49.5,0.00190373553161823,846,NA,"northern_species"
"Eumicrotremus spinosus",59.3583334418903,75.5,0.00613769798172427,3213,NA,"northern_species"
"Liparis gibbus",60.6884856384788,76,0.00524046109990339,3671,NA,"northern_species"
